timestamp,sleep_hours,screen_time_before_sleep,notifications_night,heart_rate,steps_today,sleep_score,deep_sleep_hours,night_phone_usage,sleep_interruption,wake_time,noise_level,ambient_light_level
2024-01-22,7.4,15,9,71.9,8224,81.2,2.4,6.3,3,8.39,3,4
2024-01-23,7.5,35,8,71.4,10952,82.0,2.4,6.7,2,6.29,3,0
2024-01-24,6.9,10,8,59.6,9327,76.6,2.7,35.4,1,6.86,2,4
2024-01-25,7.3,10,7,56.8,7852,80.5,2.6,0.0,0,7.43,1,0
2024-01-26,7.5,11,2,58.0,8582,86.6,2.3,44.3,0,6.92,6,2
2024-01-27,7.0,51,8,68.6,9064,76.6,1.5,14.9,1,6.93,7,1
2024-01-28,7.6,30,6,65.6,8295,86.6,3.3,8.4,1,6.41,1,6
2024-01-29,7.2,16,12,87.7,7409,72.8,1.4,31.1,3,6.51,3,0
2024-01-30,7.4,10,8,61.0,6518,82.6,2.6,42.3,2,5.93,2,2
2024-01-31,7.2,28,9,64.5,8224,80.6,2.3,36.8,2,7.38,2,0
2024-02-01,8.2,10,6,72.4,7754,92.7,1.5,27.5,0,5.31,5,5
2024-02-02,7.5,17,6,64.7,8007,85.2,2.0,36.3,0,7.48,0,3
2024-02-03,7.1,24,9,57.1,10091,76.3,2.1,0.0,2,5.58,4,3
2024-02-04,7.8,24,13,63.4,7504,85.0,2.8,12.2,0,7.47,4,5
2024-02-05,7.0,70,12,70.0,7583,72.6,1.7,6.3,2,6.42,3,3
2024-02-06,7.6,15,5,59.8,8379,85.9,2.0,38.4,1,5.71,5,3
2024-02-07,6.7,10,10,72.1,13251,72.5,0.9,14.2,1,7.16,3,3
2024-02-08,6.9,15,12,70.2,5816,74.7,3.0,32.7,0,7.44,5,4
2024-02-09,7.5,10,4,59.0,10183,86.3,1.6,28.0,1,6.35,0,2
2024-02-10,7.8,10,8,72.0,7402,86.5,2.3,7.1,1,7.28,2,2
2024-02-11,7.5,10,10,56.8,7878,82.3,2.0,11.2,2,4.87,3,4
2024-02-12,7.4,10,7,66.0,5375,84.3,2.1,39.4,0,5.64,0,3
2024-02-13,7.3,13,6,59.0,11760,82.6,2.5,8.4,1,7.73,1,2
2024-02-14,6.9,10,7,53.8,8445,75.1,2.9,21.9,1,6.52,1,0
2024-02-15,7.2,35,8,66.6,9317,79.6,2.2,8.3,2,5.21,5,5
2024-02-16,7.3,11,9,77.1,5002,78.6,2.4,15.3,0,6.14,2,1
2024-02-17,7.9,10,11,60.2,6715,87.1,2.3,19.3,0,5.96,1,4
2024-02-18,7.6,10,11,51.5,8824,81.0,2.6,8.3,2,6.57,5,3
2024-02-19,6.8,22,6,67.8,7678,75.7,1.9,5.6,0,6.4,0,0
2024-02-20,7.6,23,9,56.3,8893,82.7,2.6,24.3,2,6.84,0,5
2024-02-21,7.3,10,13,70.8,12205,78.5,2.7,7.3,1,6.64,2,3
2024-02-22,7.2,10,7,62.4,9009,81.2,2.6,7.8,0,7.79,0,5
2024-02-23,7.7,10,9,50.0,7102,82.5,1.8,5.9,1,7.04,0,2
2024-02-24,7.9,10,8,64.2,6697,89.6,2.0,18.8,1,7.07,4,4
2024-02-25,7.8,10,8,62.3,6469,88.4,2.2,34.2,0,7.63,5,0
2024-02-26,7.1,10,9,62.3,7144,79.4,1.4,42.6,1,6.39,5,2
2024-02-27,7.3,27,13,56.1,7229,77.1,2.9,9.1,2,5.69,5,0
2024-02-28,7.6,11,5,74.6,8237,84.6,2.1,52.3,1,7.67,5,2
2024-02-29,7.8,10,9,57.6,9056,86.4,2.2,4.9,0,6.81,0,3
2024-03-01,7.3,28,10,70.0,8870,79.1,1.8,36.3,1,6.81,4,1
2024-03-02,7.4,10,13,59.9,8264,79.6,1.4,9.2,2,6.19,2,4
2024-03-03,7.0,23,10,69.7,8402,76.3,1.8,6.9,3,6.21,2,1
2024-03-04,7.0,13,10,65.5,13071,77.4,2.2,8.8,0,7.38,4,4
2024-03-05,7.8,10,6,61.3,6555,88.6,2.4,19.2,2,7.49,0,5
2024-03-06,8.0,10,8,54.2,7926,87.8,2.2,28.7,1,7.33,0,4
2024-03-07,7.4,10,9,66.6,4429,83.6,2.3,30.0,2,7.33,4,2
2024-03-08,7.9,10,12,70.6,7234,86.0,1.9,5.8,0,7.16,4,0
2024-03-09,7.6,35,8,54.8,6202,82.2,2.3,5.2,0,6.81,3,4
2024-03-10,7.2,31,8,58.2,6540,78.7,2.8,6.3,2,6.56,1,2
2024-03-11,7.6,25,9,82.7,5628,79.9,2.5,18.3,0,7.67,4,1
2024-03-12,8.1,24,11,52.7,5295,86.0,2.5,16.8,0,6.4,4,1
2024-03-13,7.4,10,11,59.0,8244,81.2,2.2,5.7,0,7.0,3,5
2024-03-14,8.1,10,4,69.3,9420,93.0,1.3,24.0,2,6.06,1,0
2024-03-15,6.4,12,6,77.9,6456,68.9,1.6,53.9,1,6.17,2,3
2024-03-16,7.8,10,10,50.0,3944,83.1,2.3,12.4,2,6.51,5,3
2024-03-17,7.5,20,14,68.0,8222,80.7,2.1,13.5,2,6.06,6,2
2024-03-18,7.3,34,14,62.0,8938,78.1,2.3,28.4,1,7.34,2,4
2024-03-19,7.5,10,7,61.6,9347,84.3,2.9,11.6,1,5.62,3,5
2024-03-20,6.6,11,10,74.9,5957,71.2,2.5,30.0,0,6.78,3,2
2024-03-21,7.4,10,7,60.8,6788,82.7,2.7,9.2,1,6.81,4,2
2024-03-22,7.6,18,12,58.5,5780,82.0,2.1,47.5,0,5.25,2,4
2024-03-23,8.0,10,11,57.6,6521,87.8,1.7,25.2,1,6.35,0,4
2024-03-24,7.2,10,7,61.4,6420,81.6,2.1,10.7,2,6.9,5,2
2024-03-25,7.1,10,13,66.9,6980,77.4,1.7,11.2,0,7.04,7,2
2024-03-26,7.2,10,16,73.1,7497,75.5,2.9,12.3,2,6.54,2,0
2024-03-27,7.8,10,4,64.0,8229,90.8,2.5,40.6,1,7.24,1,1
2024-03-28,7.6,10,10,62.1,6308,84.1,2.4,1.0,1,6.61,3,0
2024-03-29,7.2,10,4,67.7,7720,83.3,2.7,10.0,0,6.71,3,4
2024-03-30,7.6,34,5,67.3,6186,86.4,1.1,11.6,0,6.9,5,2
2024-03-31,7.5,14,10,66.7,4489,83.2,2.4,19.8,1,7.44,3,2
2024-04-01,7.8,10,13,56.2,9081,84.1,1.4,15.9,2,6.16,1,2
2024-04-02,7.2,25,12,67.2,6674,77.6,2.1,0.0,0,6.31,0,1
2024-04-03,7.3,10,6,50.0,4533,79.1,1.9,14.0,3,6.16,5,5
2024-04-04,7.3,32,10,74.4,9121,77.6,2.4,18.5,2,6.43,4,5
2024-04-05,6.8,16,11,76.5,7498,72.3,2.2,10.6,0,7.84,5,5
2024-04-06,7.5,20,8,68.5,8905,84.0,2.8,30.3,1,7.16,1,4
2024-04-07,7.5,10,8,71.1,8836,83.6,1.8,33.8,3,5.8,7,2
2024-04-08,7.4,10,5,62.3,5811,85.0,2.5,18.8,0,6.22,0,5
2024-04-09,7.3,26,10,58.1,9860,79.5,2.2,23.5,2,7.0,4,1
2024-04-10,6.9,25,13,56.9,4334,72.1,1.3,0.0,1,5.97,0,1
2024-04-11,7.3,10,6,70.8,7205,81.5,1.6,13.7,2,6.12,1,1
2024-04-12,7.3,10,7,58.3,7073,81.2,2.0,35.1,2,7.78,6,3
2024-04-13,7.1,36,9,61.9,6446,77.7,2.7,13.6,1,6.21,5,1
2024-04-14,7.4,10,9,64.8,10452,82.8,2.3,8.9,2,7.46,2,2
2024-04-15,7.6,39,11,61.8,8602,82.1,1.5,54.2,3,7.7,2,0
2024-04-16,8.2,10,7,61.0,5183,92.4,2.0,47.3,1,6.11,3,3
2024-04-17,7.5,20,9,50.0,5473,79.8,3.1,27.0,2,5.99,4,0
2024-04-18,7.5,10,9,60.8,12308,83.8,2.2,37.1,0,6.48,6,1
2024-04-19,7.4,21,16,68.8,7046,78.4,1.9,0.0,1,5.83,2,5
2024-04-20,6.6,10,8,63.7,6407,74.7,2.3,8.2,1,6.8,0,5
2024-04-21,7.4,10,11,56.9,10312,80.3,2.5,13.0,2,6.54,3,3
2024-04-22,7.4,10,9,69.5,4445,82.8,1.9,16.5,2,6.99,2,3
2024-04-23,8.4,10,8,55.0,10774,93.1,2.4,12.7,1,7.82,0,2
2024-04-24,7.3,25,13,64.6,6404,80.1,1.9,0.0,3,7.35,4,1
2024-04-25,7.5,10,8,60.9,9029,84.6,2.5,25.8,3,7.09,3,2
2024-04-26,7.4,10,12,63.0,7042,81.6,2.2,28.2,2,5.13,4,0
2024-04-27,6.9,10,6,76.0,4851,76.2,2.3,44.0,0,7.05,1,3
2024-04-28,7.9,10,8,64.7,8356,89.6,1.7,8.2,0,8.08,4,3
2024-04-29,7.7,10,8,52.9,9895,84.2,1.7,6.9,0,4.29,0,1
2024-04-30,7.7,52,11,58.8,3303,82.6,2.6,0.0,2,7.25,1,5
2024-05-01,7.0,30,5,61.9,5688,79.6,2.1,15.6,0,6.57,3,4
2024-05-02,8.0,10,8,61.7,10475,89.7,2.2,33.5,2,6.02,6,4
2024-05-03,6.8,12,6,72.1,8795,76.0,1.9,10.8,0,7.34,5,2
2024-05-04,7.6,10,8,62.0,8927,86.1,2.5,52.2,2,8.07,5,2
2024-05-05,8.3,10,5,58.6,9861,94.2,1.8,16.2,1,7.32,6,4
2024-05-06,7.0,10,10,50.0,8935,74.0,2.0,22.2,2,6.4,10,3
2024-05-07,7.2,35,9,73.4,8294,77.1,2.5,0.0,2,5.95,3,5
2024-05-08,7.4,23,7,61.6,10232,83.4,2.7,24.3,2,6.82,6,2
2024-05-09,7.2,26,7,65.8,7219,80.9,1.8,0.0,2,7.4,5,2
2024-05-10,6.8,27,6,67.9,7966,76.2,3.1,30.4,1,6.39,5,4
2024-05-11,7.4,10,15,57.5,9651,78.8,2.3,30.9,0,6.47,7,0
2024-05-12,7.0,29,13,63.4,6470,75.3,1.6,40.4,0,8.96,2,4
2024-05-13,7.6,18,9,56.6,10849,82.7,2.3,4.7,0,7.56,2,0
2024-05-14,7.0,10,8,74.5,8582,76.9,1.9,22.4,0,7.62,4,4
2024-05-15,8.0,10,9,50.0,5702,86.5,2.3,28.5,1,5.53,3,1
2024-05-16,7.1,16,13,57.9,7612,75.5,2.1,26.6,0,6.13,4,3
2024-05-17,7.3,42,11,61.4,5228,78.5,2.1,7.0,1,6.76,6,4
2024-05-18,7.7,10,12,71.9,8171,83.6,1.6,0.0,1,5.9,2,3
2024-05-19,6.9,10,9,70.4,7242,76.1,2.6,25.2,1,7.98,2,0
2024-05-20,7.5,11,5,51.1,6270,82.6,1.5,17.7,0,7.83,3,1
2024-05-21,7.9,10,6,59.6,4439,89.9,1.5,11.5,1,6.27,3,1
2024-05-22,6.8,22,11,71.3,6416,72.4,2.3,31.5,0,8.13,0,0
2024-05-23,7.5,13,6,78.3,7638,82.0,2.9,19.3,1,6.7,2,5
2024-05-24,7.5,10,10,60.1,7255,82.9,1.9,0.2,2,8.77,4,3
2024-05-25,7.7,34,11,53.2,5159,81.5,2.5,0.0,1,6.82,6,0
2024-05-26,6.9,10,8,67.8,8042,77.1,2.6,3.1,3,7.16,1,5
2024-05-27,6.9,10,8,65.4,6028,77.3,2.5,55.9,2,7.82,1,1
2024-05-28,7.6,10,12,65.3,9843,84.1,1.9,30.8,0,7.72,3,3
2024-05-29,7.5,10,8,67.3,10138,84.7,1.6,22.8,0,7.11,0,1
2024-05-30,7.5,10,8,64.8,7485,85.1,1.0,17.3,1,6.59,2,0
2024-05-31,7.5,40,12,66.1,11152,81.9,2.0,16.3,2,7.11,0,0
2024-06-01,7.1,14,5,75.9,7718,78.8,2.7,37.5,1,6.05,6,2
2024-06-02,7.5,12,6,60.6,5399,84.7,1.5,12.6,2,6.82,1,4
2024-06-03,7.5,10,10,53.9,10370,81.1,2.5,28.7,2,5.81,6,3
2024-06-04,7.1,10,13,66.7,11228,77.5,1.6,14.8,0,5.28,5,3
2024-06-05,8.1,10,15,50.4,9989,84.9,2.2,49.1,0,6.74,2,0
2024-06-06,7.6,10,5,54.3,6472,84.3,2.5,31.1,2,7.71,1,5
2024-06-07,6.9,42,10,59.7,5529,74.0,1.8,38.7,1,7.44,3,3
2024-06-08,7.6,17,6,53.0,7299,84.2,2.2,11.2,0,6.63,3,2
2024-06-09,7.0,10,4,73.2,12952,78.8,1.9,35.9,1,8.1,4,5
2024-06-10,7.7,10,14,61.9,5646,83.7,2.5,15.3,1,6.24,1,5
2024-06-11,7.8,12,7,65.7,9641,89.6,2.2,21.7,0,5.17,4,5
2024-06-12,7.0,37,8,68.3,7814,77.6,2.1,44.5,2,4.95,4,2
2024-06-13,7.8,35,11,59.7,9888,84.2,2.9,4.4,1,5.76,2,1
2024-06-14,7.5,10,8,69.0,5480,84.7,2.4,23.0,0,7.35,2,4
2024-06-15,7.7,10,8,58.1,7500,85.8,1.8,26.6,1,6.19,3,0
2024-06-16,8.1,10,8,58.2,6203,90.8,2.1,27.8,0,7.07,1,6
2024-06-17,7.3,10,8,58.7,6317,80.5,2.1,13.2,3,8.02,3,3
2024-06-18,7.1,23,8,74.4,9473,76.6,2.1,51.3,0,5.82,3,1
2024-06-19,7.0,34,8,64.2,5761,77.9,3.4,0.6,0,7.08,4,0
2024-06-20,7.0,13,12,69.0,8579,76.6,2.3,41.9,2,7.13,7,0
2024-06-21,7.3,10,7,59.2,8111,82.0,1.1,38.2,0,6.01,3,3
2024-06-22,7.5,10,8,68.4,6092,84.2,1.8,48.5,0,7.78,5,2
2024-06-23,7.5,10,15,68.0,6524,80.6,1.1,0.0,2,6.47,3,0
2024-06-24,7.7,46,12,50.1,8667,79.2,1.9,7.0,0,6.39,3,2
2024-06-25,7.4,10,7,63.2,7949,83.5,1.1,42.4,0,8.39,3,0
2024-06-26,7.9,10,10,61.1,8076,88.4,1.7,0.0,3,7.12,3,4
2024-06-27,7.3,52,6,61.6,7534,80.4,1.3,0.0,2,7.44,4,2
2024-06-28,8.5,10,10,67.4,7405,94.9,2.3,12.7,1,7.78,1,2
2024-06-29,7.6,10,8,53.4,7956,83.2,2.1,22.9,1,6.18,0,0
2024-06-30,7.0,10,16,61.8,10878,74.7,2.3,43.9,2,7.7,4,2
2024-07-01,6.9,12,12,59.4,9058,74.7,2.0,17.2,2,6.3,5,2
2024-07-02,7.6,34,8,69.4,7738,83.3,1.4,10.9,0,6.26,4,3
2024-07-03,7.3,10,8,56.4,5836,79.7,2.4,24.7,1,6.48,3,3
2024-07-04,7.6,36,8,50.0,7161,81.3,3.1,27.0,0,6.2,5,4
2024-07-05,7.5,10,11,65.3,6159,84.2,2.3,26.6,1,7.36,4,2
2024-07-06,7.3,10,4,62.4,6406,84.4,1.9,17.3,1,6.91,5,0
2024-07-07,7.0,10,10,72.2,4259,76.3,1.4,0.0,1,6.31,1,4
2024-07-08,6.8,30,11,71.9,7977,71.7,1.6,6.2,2,7.24,1,1
2024-07-09,7.2,10,8,63.8,12135,81.0,2.3,41.3,1,6.48,2,1
2024-07-10,7.7,14,13,51.4,8392,81.1,2.6,22.8,0,6.44,3,2
2024-07-11,7.4,49,4,54.4,9454,81.5,2.2,15.2,0,6.74,3,3
2024-07-12,6.9,10,10,53.3,9919,72.8,2.5,36.8,1,7.07,0,2
2024-07-13,7.4,12,6,61.9,7426,84.2,2.5,3.0,3,7.01,6,2
2024-07-14,7.5,10,12,57.9,7560,81.3,2.4,16.6,0,6.41,2,2
2024-07-15,7.0,24,10,63.7,5206,76.9,1.8,22.1,1,7.38,3,5
2024-07-16,7.4,10,6,64.1,8393,85.1,2.2,13.4,0,6.52,5,2
2024-07-17,7.4,10,8,76.4,8111,80.4,1.7,21.5,0,6.18,0,1
2024-07-18,6.9,26,8,69.6,6287,75.8,2.1,17.2,1,5.53,2,1
2024-07-19,7.5,44,8,63.0,10297,83.1,2.3,0.0,2,7.49,2,2
2024-07-20,7.6,10,12,51.2,6446,79.9,2.9,22.7,1,6.71,2,3
2024-07-21,7.8,18,9,61.3,13694,86.4,1.4,0.1,0,6.87,3,3
2024-07-22,7.8,10,6,67.3,8806,88.9,2.3,22.5,4,7.54,6,3
2024-07-23,6.8,10,5,68.8,7956,77.4,2.8,40.6,1,6.32,4,1
2024-07-24,7.0,25,11,57.8,11877,74.4,2.5,15.8,0,5.6,5,2
2024-07-25,7.6,36,9,59.6,3433,82.6,2.5,2.4,2,6.76,3,4
2024-07-26,7.6,14,8,62.8,7427,84.7,2.4,18.1,1,6.95,0,0
2024-07-27,7.5,10,12,59.4,7132,82.3,2.7,7.5,3,6.49,0,2
2024-07-28,8.9,10,8,51.3,7637,97.7,1.6,28.9,0,7.88,0,4
2024-07-29,7.6,10,5,50.0,8452,82.9,1.4,17.8,2,4.71,4,4
2024-07-30,7.8,15,14,55.6,7578,82.5,2.1,45.6,1,7.6,3,2
2024-07-31,7.7,22,7,63.1,10802,87.5,1.0,37.4,2,7.33,3,2
2024-08-01,7.6,10,11,68.1,8870,83.8,2.7,17.7,3,7.07,2,0
2024-08-02,7.2,10,10,64.5,8967,80.9,2.7,30.7,0,4.03,7,3
2024-08-03,7.6,11,9,69.2,8924,85.2,1.9,14.1,2,7.73,1,5
2024-08-04,7.0,10,9,64.3,5423,78.8,1.9,20.5,0,5.88,5,7
2024-08-05,7.2,10,7,57.6,8403,80.4,2.1,14.6,0,6.29,3,3
2024-08-06,7.1,55,12,61.0,8472,75.5,2.1,31.5,0,6.56,3,2
2024-08-07,7.4,10,11,66.7,5751,81.7,2.2,41.5,2,7.03,5,1
2024-08-08,8.3,10,10,56.8,9771,90.8,2.4,32.0,1,7.21,6,0
2024-08-09,6.6,10,9,62.6,3925,73.0,2.0,33.8,1,7.41,3,3
2024-08-10,7.6,21,11,51.1,13039,80.4,2.6,33.8,1,7.35,5,7
2024-08-11,6.7,16,7,60.3,7924,74.1,2.3,28.3,2,6.9,4,5
2024-08-12,7.1,10,14,61.5,6289,76.8,1.8,2.9,2,7.03,3,5
2024-08-13,7.8,30,10,57.1,9235,84.1,2.8,45.5,2,5.83,3,3
2024-08-14,7.4,38,8,56.4,9252,79.6,1.4,47.1,3,6.1,2,3
2024-08-15,6.9,10,5,76.4,12092,76.2,2.1,16.5,1,7.42,2,0
2024-08-16,7.0,10,11,69.0,11564,76.9,2.6,14.4,0,7.37,2,4
2024-08-17,7.6,26,10,77.3,5340,80.7,1.7,29.2,2,7.28,5,1
2024-08-18,7.0,10,10,53.6,7459,75.0,2.3,28.3,0,6.29,3,1
2024-08-19,7.4,25,10,65.1,6180,82.7,2.4,17.0,0,7.43,0,2
2024-08-20,7.3,10,10,60.2,9484,81.1,1.7,1.2,2,5.77,2,2
2024-08-21,7.1,32,13,64.8,10830,76.5,2.1,24.6,1,7.56,0,1
2024-08-22,8.2,10,10,72.0,5366,90.6,2.0,28.3,0,6.49,2,3
2024-08-23,7.6,21,13,50.0,7873,78.5,1.8,30.9,0,8.05,3,1
2024-08-24,6.5,23,10,63.4,6736,71.2,3.3,25.2,1,5.48,3,3
2024-08-25,7.4,10,9,57.8,9688,81.6,1.7,15.9,2,8.11,7,0
2024-08-26,7.1,10,9,60.7,8818,78.2,2.6,34.9,2,6.41,4,2
2024-08-27,7.7,19,10,50.0,10351,81.3,1.9,21.0,1,6.4,4,1
2024-08-28,7.0,17,2,74.0,7157,79.3,1.6,13.0,3,6.86,0,1
2024-08-29,7.3,23,11,72.9,7766,78.2,2.2,17.3,1,6.14,2,3
2024-08-30,7.5,47,12,66.5,8788,81.4,2.4,0.0,1,6.64,2,0
2024-08-31,7.7,10,6,52.3,7457,84.2,2.6,17.3,0,6.11,1,1
2024-09-01,6.8,50,4,67.8,8598,76.7,2.9,30.3,1,6.14,1,4
2024-09-02,7.2,14,7,70.2,10540,80.0,3.6,25.1,2,7.09,0,0
2024-09-03,7.1,10,6,67.1,12267,81.0,2.2,42.8,3,5.98,0,6
2024-09-04,7.1,10,6,64.4,7023,80.9,1.8,16.1,0,6.09,5,5
2024-09-05,8.0,10,9,69.8,12295,89.6,2.3,27.3,1,5.6,3,2
2024-09-06,7.5,26,7,57.7,6995,82.6,2.0,31.9,2,6.3,2,1
2024-09-07,6.8,15,7,64.8,9737,77.2,2.6,55.1,1,7.75,3,3
2024-09-08,7.7,35,6,66.0,7011,86.8,1.5,22.2,0,6.02,5,0
2024-09-09,8.2,10,11,61.4,5940,90.6,3.3,4.3,1,6.11,3,0
2024-09-10,7.7,10,11,65.3,10445,86.4,2.5,32.7,2,6.86,4,2
2024-09-11,6.7,10,9,70.2,7901,73.4,1.3,48.0,0,6.4,1,2
2024-09-12,7.1,21,7,68.1,10567,79.9,1.7,15.2,1,8.48,2,3
2024-09-13,7.8,21,16,58.4,9504,82.7,2.5,32.6,0,6.57,4,1
2024-09-14,7.0,10,10,60.0,8822,77.2,2.7,38.4,0,6.97,7,5
2024-09-15,7.5,10,6,63.5,9102,85.9,1.5,35.3,2,7.46,6,0
2024-09-16,7.6,10,10,72.5,10177,83.3,2.5,21.9,1,7.44,4,0
2024-09-17,6.9,25,7,65.2,9852,78.0,1.1,9.5,3,6.89,3,3
2024-09-18,7.3,19,12,67.8,7190,79.5,2.1,18.8,2,6.57,6,0
2024-09-19,6.0,55,11,70.8,8845,62.1,2.7,26.9,1,8.32,5,0
2024-09-20,6.9,10,9,79.8,11001,73.0,1.8,33.6,1,6.62,0,3
2024-09-21,7.2,26,7,63.0,8090,81.0,1.3,25.0,2,6.35,1,1
2024-09-22,6.8,42,7,70.2,7011,74.2,2.2,14.3,2,6.18,4,2
2024-09-23,8.0,10,7,55.2,6757,88.5,1.8,28.3,1,5.32,0,1
2024-09-24,6.7,25,10,58.5,9698,72.4,2.4,32.9,2,7.36,1,1
2024-09-25,7.1,10,11,64.3,7519,79.2,1.7,25.7,1,4.82,2,0
2024-09-26,7.4,10,11,71.5,8724,80.2,1.7,7.5,0,6.7,2,3
2024-09-27,7.9,10,12,65.1,7423,87.9,1.1,17.3,1,6.54,2,0
2024-09-28,6.7,10,7,51.8,10347,72.2,2.2,34.2,1,8.49,2,2
2024-09-29,7.8,10,9,66.3,8300,87.6,2.0,0.0,0,5.23,5,2
2024-09-30,7.3,11,7,52.8,10856,79.9,1.5,0.0,0,5.98,2,2
2024-10-01,6.9,10,9,71.4,10783,75.5,2.2,42.6,1,6.59,2,2
2024-10-02,7.5,10,9,66.4,7823,84.0,2.6,27.7,1,6.54,0,3
2024-10-03,7.4,23,9,62.1,10666,81.6,2.0,29.1,1,6.26,5,1
2024-10-04,7.1,10,9,69.8,7324,78.1,2.2,3.8,1,6.64,2,5
2024-10-05,7.3,24,12,61.6,8532,79.3,2.2,31.1,3,5.69,1,0
2024-10-06,7.1,22,9,65.4,6440,79.5,1.5,24.1,2,6.99,3,2
2024-10-07,7.3,10,4,53.3,9187,81.9,3.1,0.0,0,4.84,1,4
2024-10-08,7.6,10,7,60.4,8602,84.8,1.9,41.4,0,6.68,2,3
2024-10-09,7.9,25,11,66.9,9028,87.7,2.4,22.4,2,6.22,4,1
2024-10-10,6.8,10,10,56.7,5279,73.4,2.5,14.1,2,7.51,2,1
2024-10-11,8.1,10,10,65.0,4021,91.7,2.0,14.3,1,8.1,8,1
2024-10-12,6.5,32,7,53.3,5734,69.0,2.4,0.0,0,6.44,3,4
2024-10-13,7.2,27,16,55.5,8998,74.3,2.2,28.9,0,7.81,4,1
2024-10-14,7.5,10,7,60.2,9346,84.5,1.4,23.9,0,6.45,0,3
2024-10-15,7.4,10,5,64.1,10258,85.3,1.9,17.1,1,5.93,1,3
2024-10-16,7.0,43,7,60.8,7190,77.4,1.8,39.2,3,8.1,1,7
2024-10-17,7.2,47,10,59.8,8417,77.3,1.9,0.0,0,7.12,1,3
2024-10-18,7.1,33,15,72.3,6597,73.6,1.4,11.0,0,6.7,4,1
2024-10-19,7.0,16,8,73.1,10734,77.3,2.7,7.2,1,7.25,5,0
2024-10-20,7.6,10,7,58.9,6581,85.6,2.9,15.8,2,6.92,4,2
2024-10-21,7.4,10,14,60.1,10357,80.0,2.6,21.0,0,6.64,3,2
2024-10-22,7.0,25,9,63.0,7497,77.5,2.7,26.5,2,5.64,2,0
2024-10-23,7.6,14,7,77.3,11150,83.6,1.9,14.8,1,6.48,5,1
2024-10-24,7.4,37,8,63.1,8365,82.2,1.8,6.8,0,7.2,7,3
2024-10-25,7.6,19,7,73.0,8322,84.2,1.7,45.3,0,6.6,3,2
2024-10-26,7.5,10,7,67.5,6491,85.5,2.4,56.2,2,7.42,5,4
2024-10-27,6.9,37,8,64.5,12334,77.2,2.2,22.1,1,7.01,4,0
2024-10-28,7.1,10,6,60.2,9981,79.6,2.1,8.6,1,6.0,5,4
2024-10-29,7.6,10,12,67.6,9023,83.5,2.7,42.1,0,5.64,1,4
2024-10-30,7.5,12,7,56.9,8479,83.4,2.3,0.0,1,6.57,2,4
2024-10-31,7.3,51,6,61.0,6678,80.0,1.7,15.0,1,6.28,4,0
2024-11-01,7.3,72,6,68.0,9346,80.0,1.8,9.6,1,6.97,5,3
2024-11-02,7.8,15,6,59.4,7866,87.5,2.4,2.6,0,6.13,1,1
2024-11-03,7.0,11,5,62.1,8115,80.4,2.6,15.8,0,6.21,0,0
2024-11-04,7.5,18,7,60.4,9781,83.8,2.4,7.0,4,7.54,2,2
2024-11-05,7.2,30,4,59.3,8568,81.0,3.0,20.2,0,6.82,5,1
2024-11-06,7.2,10,14,67.2,8036,77.8,2.9,20.4,1,6.14,0,4
2024-11-07,7.7,40,7,61.7,10871,85.7,2.3,10.7,0,6.71,1,3
2024-11-08,7.6,11,10,52.5,6362,81.8,1.7,14.4,0,7.8,3,0
2024-11-09,7.6,16,6,58.6,4690,85.3,1.4,16.5,1,6.94,3,1
