timestamp,screen_time,productive_usage,social_usage,gaming_usage,notifications,unlock_count,study_score,study_hours,app_switching_frequency,notifications_during_study,break_frequency,phone_usage_during_study,completed_tasks
2024-01-26,249,80,26,47,26,64,48.7,3.6,21,6,3,32.5,10
2024-01-27,240,86,30,69,24,51,52.8,2.2,34,4,5,14.4,7
2024-01-28,273,100,33,33,29,66,63.9,3.9,30,7,1,36.1,5
2024-01-29,218,78,32,62,24,50,46.9,2.8,22,16,1,5.7,1
2024-01-30,228,76,11,40,25,56,50.8,3.2,16,12,2,36.5,6
2024-01-31,241,71,30,39,27,59,42.9,2.8,26,12,1,27.5,8
2024-02-01,251,77,45,67,29,63,39.5,5.5,12,1,2,62.0,9
2024-02-02,251,82,29,58,21,64,49.1,3.5,24,2,4,60.4,8
2024-02-03,243,91,44,36,32,65,54.0,2.3,24,0,2,49.1,4
2024-02-04,247,78,31,52,25,66,45.1,4.4,28,4,1,29.1,0
2024-02-05,243,96,28,64,23,59,60.3,2.2,42,13,3,70.7,5
2024-02-06,257,90,32,56,26,61,54.7,3.7,23,11,4,7.0,5
2024-02-07,233,69,31,51,18,54,42.7,1.3,16,7,1,9.7,5
2024-02-08,235,89,31,62,24,57,54.8,2.0,20,8,4,33.5,8
2024-02-09,252,91,27,54,22,58,58.4,3.7,6,5,4,75.6,12
2024-02-10,265,109,20,34,26,68,73.3,4.3,14,9,4,31.4,6
2024-02-11,232,92,36,51,23,63,56.9,3.7,17,12,5,31.7,5
2024-02-12,245,72,32,55,22,53,43.0,3.4,16,0,6,9.0,5
2024-02-13,236,92,45,53,18,59,57.5,3.2,21,9,2,52.0,6
2024-02-14,250,91,31,47,25,70,55.7,1.9,13,13,3,52.2,4
2024-02-15,217,95,19,55,21,46,65.6,2.7,29,6,2,49.2,6
2024-02-16,237,116,34,52,24,66,75.2,3.0,20,12,3,23.7,7
2024-02-17,233,84,32,31,22,54,56.3,4.7,20,22,5,22.3,7
2024-02-18,237,83,28,37,21,56,54.9,3.9,17,7,1,11.7,7
2024-02-19,204,94,36,54,19,54,61.1,1.6,21,10,2,36.5,7
2024-02-20,272,108,35,58,27,70,65.9,3.9,27,4,5,15.6,1
2024-02-21,205,96,22,43,22,50,66.4,3.1,13,9,5,13.8,8
2024-02-22,249,86,28,58,22,58,53.6,2.8,15,10,2,27.4,4
2024-02-23,223,99,40,56,24,49,63.8,4.2,18,9,4,26.2,3
2024-02-24,223,107,24,49,24,55,72.6,4.6,9,3,4,25.3,3
2024-02-25,244,81,30,55,25,60,48.9,4.5,13,9,5,43.4,7
2024-02-26,253,79,33,55,30,59,45.3,2.6,16,15,3,36.4,5
2024-02-27,226,90,22,59,17,55,59.4,3.2,27,10,5,29.8,1
2024-02-28,226,92,31,60,28,57,56.3,3.9,22,13,7,38.3,7
2024-02-29,223,103,31,40,20,61,69.5,4.6,22,7,4,17.2,2
2024-03-01,246,84,29,43,25,62,52.7,3.0,27,12,3,36.9,6
2024-03-02,227,93,20,66,22,55,60.1,3.3,19,9,4,37.7,7
2024-03-03,262,105,32,60,22,61,67.2,2.3,23,3,2,7.9,9
2024-03-04,225,91,27,57,24,52,58.8,2.2,19,10,7,52.9,11
2024-03-05,251,85,40,59,27,63,48.5,4.4,22,3,3,19.1,2
2024-03-06,266,95,35,62,27,67,55.7,5.0,15,5,3,36.6,6
2024-03-07,244,86,26,52,19,59,55.4,3.4,2,9,2,56.0,5
2024-03-08,216,92,29,47,17,58,61.8,4.6,19,9,5,51.7,7
2024-03-09,249,87,33,56,22,62,53.3,3.9,31,2,4,35.6,7
2024-03-10,239,88,29,51,27,57,54.6,2.8,27,13,2,28.5,5
2024-03-11,242,85,20,66,24,57,52.4,3.9,28,11,4,52.1,5
2024-03-12,267,83,34,66,20,63,48.9,5.2,30,4,1,47.1,3
2024-03-13,244,99,36,60,30,63,59.1,3.5,21,0,3,23.9,9
2024-03-14,251,91,38,38,29,59,56.7,5.2,22,7,4,20.7,7
2024-03-15,233,102,40,40,20,58,67.7,1.0,15,6,6,0.0,9
2024-03-16,239,66,26,38,22,55,42.0,4.4,17,9,2,37.8,5
2024-03-17,260,84,39,53,25,64,48.9,3.6,25,6,1,33.5,4
2024-03-18,245,81,23,60,26,61,48.6,3.2,30,0,2,55.5,3
2024-03-19,247,86,35,48,25,73,50.5,3.6,19,6,1,41.5,7
2024-03-20,258,78,27,45,23,58,49.6,1.3,16,6,5,59.0,3
2024-03-21,268,73,36,52,30,70,38.0,3.3,20,11,5,22.4,12
2024-03-22,226,96,20,43,27,52,64.4,3.9,25,5,3,55.5,2
2024-03-23,236,83,37,54,23,65,48.8,5.1,8,16,5,25.5,7
2024-03-24,265,94,26,49,24,62,60.6,2.9,2,0,3,49.0,11
2024-03-25,273,77,36,44,32,73,41.2,2.6,16,15,3,8.7,8
2024-03-26,239,72,36,52,17,60,43.6,2.9,10,7,3,39.2,7
2024-03-27,248,91,36,60,22,55,57.0,4.5,16,12,3,0.0,3
2024-03-28,249,95,33,36,27,63,61.0,3.9,19,8,1,30.2,2
2024-03-29,247,83,23,53,28,64,49.4,2.9,16,14,3,42.9,8
2024-03-30,247,78,45,30,23,64,47.9,4.1,32,6,3,25.6,11
2024-03-31,264,101,32,49,33,64,62.2,3.6,23,3,4,16.1,5
2024-04-01,217,88,32,58,14,67,55.4,4.6,22,15,3,50.2,3
2024-04-02,234,79,44,61,26,68,41.7,2.7,25,7,3,33.1,0
2024-04-03,253,74,26,46,25,65,43.7,3.1,11,9,2,26.2,3
2024-04-04,236,82,32,46,22,52,52.6,3.1,28,14,3,35.8,6
2024-04-05,248,85,34,49,27,57,51.7,1.9,19,3,4,82.5,11
2024-04-06,260,96,31,40,24,63,62.5,3.8,25,11,1,55.8,8
2024-04-07,268,88,35,53,23,66,53.4,3.8,11,5,3,55.9,7
2024-04-08,248,87,28,41,25,57,56.4,3.5,8,7,3,42.8,5
2024-04-09,266,79,32,57,26,63,45.7,3.2,27,8,2,38.0,4
2024-04-10,246,102,34,44,22,51,69.3,1.9,23,0,2,0.0,10
2024-04-11,239,98,44,48,22,49,64.4,3.0,13,4,3,22.8,7
2024-04-12,221,97,46,56,20,55,61.6,3.1,13,15,1,26.3,0
2024-04-13,229,88,34,58,18,65,54.1,2.6,29,12,4,1.3,4
2024-04-14,244,92,43,57,19,53,58.7,3.3,10,8,2,14.2,3
2024-04-15,245,63,27,54,27,60,33.8,3.9,33,9,5,0.0,4
2024-04-16,248,90,51,40,20,61,56.4,5.6,13,7,7,34.3,8
2024-04-17,272,108,31,51,27,69,67.9,3.7,25,15,2,49.7,6
2024-04-18,256,83,33,50,19,61,51.8,3.8,17,7,4,54.9,6
2024-04-19,256,79,38,47,30,58,45.5,3.4,25,9,2,42.5,10
2024-04-20,272,87,40,52,26,71,49.7,1.4,16,14,5,17.7,4
2024-04-21,239,80,32,43,27,50,50.5,3.5,19,4,1,0.2,12
2024-04-22,237,79,17,51,30,61,47.8,3.6,20,16,4,3.4,4
2024-04-23,263,91,39,48,22,61,56.9,6.2,12,0,2,12.2,6
2024-04-24,252,97,26,47,23,64,62.6,3.3,26,16,3,19.0,5
2024-04-25,244,91,40,40,27,66,55.5,3.8,16,6,1,32.1,6
2024-04-26,244,77,40,40,22,57,47.5,3.5,18,7,4,16.7,7
2024-04-27,242,82,35,65,25,58,47.2,2.2,12,0,2,41.1,7
2024-04-28,243,91,41,53,24,58,56.3,4.8,2,6,4,30.8,4
2024-04-29,245,95,30,70,17,72,57.4,4.3,18,3,2,35.2,3
2024-04-30,240,86,45,70,26,59,48.1,4.4,39,5,3,55.5,14
2024-05-01,253,79,35,64,24,62,45.0,2.5,26,7,3,13.8,5
2024-05-02,256,96,32,39,22,63,62.9,5.0,20,13,2,42.5,8
2024-05-03,236,106,43,66,28,65,63.4,2.0,18,9,3,34.7,1
2024-05-04,259,99,28,50,23,61,64.6,4.1,20,10,5,29.0,5
2024-05-05,226,108,17,49,20,60,74.5,5.9,24,3,2,50.9,6
2024-05-06,253,82,24,47,19,59,53.3,2.4,11,4,5,50.8,7
2024-05-07,253,98,45,48,27,59,60.8,2.9,29,17,5,18.0,0
2024-05-08,244,101,36,56,24,62,63.5,3.6,26,4,2,31.7,6
2024-05-09,246,83,35,75,19,67,47.0,2.9,26,16,1,40.1,3
2024-05-10,242,80,41,35,24,58,49.6,1.8,24,7,3,30.1,7
2024-05-11,238,78,36,71,26,57,43.4,3.6,20,8,2,45.5,3
2024-05-12,245,87,32,67,25,64,50.6,2.3,25,13,6,40.1,3
2024-05-13,237,73,30,50,27,59,42.4,4.0,25,14,3,68.0,5
2024-05-14,262,105,25,47,24,69,68.2,2.5,17,7,2,7.5,3
2024-05-15,214,75,26,38,26,45,49.7,5.2,15,6,1,32.8,5
2024-05-16,243,92,35,43,24,55,59.8,2.6,21,8,5,18.6,2
2024-05-17,217,65,33,46,24,53,38.7,3.1,32,10,2,45.9,1
2024-05-18,230,108,38,51,26,59,69.8,4.4,10,12,3,5.9,9
2024-05-19,237,100,33,51,31,58,62.7,2.1,8,8,4,41.2,2
2024-05-20,266,72,26,59,23,66,40.7,3.8,21,11,2,23.7,5
2024-05-21,263,91,36,58,24,68,53.8,4.9,20,16,3,21.8,8
2024-05-22,247,85,36,54,25,55,52.4,1.7,21,10,3,9.0,4
2024-05-23,247,89,34,51,23,64,55.0,3.7,22,10,4,26.6,4
2024-05-24,261,94,36,63,23,70,55.6,3.8,18,0,4,54.5,7
2024-05-25,263,80,50,60,21,63,44.4,4.4,32,0,3,34.5,9
2024-05-26,237,87,25,56,24,54,55.6,2.1,7,10,3,46.3,2
2024-05-27,256,70,27,48,27,68,38.9,2.0,13,8,2,65.0,6
2024-05-28,232,89,21,63,24,66,53.9,4.1,19,5,1,39.7,1
2024-05-29,240,67,35,60,19,60,37.7,3.8,7,9,3,24.9,5
2024-05-30,255,101,19,49,20,59,68.6,3.8,19,8,6,43.4,6
2024-05-31,236,73,36,33,23,59,45.4,3.9,33,14,2,25.2,3
2024-06-01,241,91,34,53,23,56,57.4,2.8,20,8,2,25.9,5
2024-06-02,221,96,30,45,21,58,63.6,3.8,22,4,2,7.6,2
2024-06-03,253,106,38,59,24,62,66.8,3.8,10,13,4,51.7,6
2024-06-04,233,105,37,54,21,53,69.8,2.7,15,7,4,28.1,9
2024-06-05,234,102,48,35,23,59,66.2,5.6,17,11,3,38.3,3
2024-06-06,267,87,40,55,29,63,50.5,4.0,17,6,2,16.4,4
2024-06-07,236,99,34,69,20,52,63.1,2.2,30,5,3,42.8,8
2024-06-08,258,90,17,50,27,68,56.6,4.2,24,8,1,21.3,10
2024-06-09,263,91,42,52,26,67,53.6,2.4,11,8,3,32.4,2
2024-06-10,260,81,42,49,20,62,49.1,4.4,22,10,4,50.8,5
2024-06-11,243,105,45,53,22,67,65.3,4.8,24,7,1,49.2,7
2024-06-12,240,80,17,67,24,56,48.6,2.6,29,0,1,34.6,6
2024-06-13,233,77,37,63,29,56,42.7,4.6,33,6,5,3.2,0
2024-06-14,220,92,40,46,19,56,59.4,4.0,12,12,2,88.9,8
2024-06-15,258,70,45,51,23,68,36.8,4.4,14,7,5,66.4,11
2024-06-16,257,89,40,52,26,66,52.2,5.6,10,7,3,48.0,6
2024-06-17,254,104,36,56,25,60,65.8,3.2,18,13,3,21.4,3
2024-06-18,204,92,27,56,16,49,62.2,2.7,24,4,4,33.0,4
2024-06-19,244,88,34,51,19,57,56.3,2.5,28,0,2,25.2,11
2024-06-20,256,79,38,40,20,62,49.1,2.6,19,7,3,57.7,9
2024-06-21,266,72,41,51,29,65,38.4,3.4,17,6,2,39.7,8
2024-06-22,251,96,23,49,22,64,62.8,3.9,21,3,1,20.9,7
2024-06-23,250,88,38,43,32,59,52.6,3.8,13,7,4,26.5,4
2024-06-24,237,94,23,60,22,63,59.2,4.4,37,10,3,55.2,5
2024-06-25,253,65,37,52,27,63,34.2,3.5,7,8,3,63.8,6
2024-06-26,244,95,26,42,20,56,64.3,5.1,21,10,1,62.5,8
2024-06-27,236,107,24,72,24,60,68.2,3.2,36,17,5,48.6,11
2024-06-28,230,101,50,56,27,56,61.3,6.5,20,6,4,30.5,9
2024-06-29,233,90,24,60,22,55,57.9,4.2,18,9,4,0.0,2
2024-06-30,252,77,30,63,21,70,43.2,2.6,17,5,3,40.3,7
2024-07-01,226,88,35,48,21,55,57.0,2.3,19,4,1,35.0,8
2024-07-02,243,89,19,58,23,58,57.1,4.0,31,5,6,37.5,8
2024-07-03,267,82,42,33,23,71,49.5,3.3,2,6,3,36.0,4
2024-07-04,226,83,30,62,27,58,48.9,4.3,32,10,2,11.1,15
2024-07-05,254,108,27,52,25,67,69.8,4.0,9,20,4,45.0,2
2024-07-06,256,78,43,58,29,61,42.0,3.4,18,4,5,46.4,3
2024-07-07,243,83,25,52,27,61,50.5,2.6,17,6,3,47.3,7
2024-07-08,257,93,39,71,30,57,53.4,1.8,25,8,5,52.0,12
2024-07-09,245,109,36,65,20,51,71.9,3.0,7,10,5,45.9,3
2024-07-10,260,84,36,26,27,61,53.6,4.4,24,9,1,27.6,5
2024-07-11,232,69,35,58,21,58,39.4,3.7,36,14,2,33.7,9
2024-07-12,276,66,37,50,27,81,31.3,2.1,9,0,4,36.6,6
2024-07-13,269,112,18,58,23,73,72.9,3.7,22,0,1,36.9,5
2024-07-14,214,68,29,58,28,48,39.3,3.9,15,6,3,53.0,8
2024-07-15,265,88,29,45,24,70,54.0,2.5,23,13,1,46.6,7
2024-07-16,239,72,45,51,25,53,41.0,3.7,20,0,2,72.4,9
2024-07-17,269,79,37,42,23,75,45.5,3.6,15,0,3,74.7,10
2024-07-18,263,81,36,67,25,63,44.8,2.2,24,11,2,36.4,7
2024-07-19,232,67,51,56,26,55,35.2,3.9,34,9,2,0.0,7
2024-07-20,257,99,20,57,26,69,62.2,4.1,18,3,1,57.3,7
2024-07-21,238,91,47,56,20,56,56.4,4.7,26,3,6,25.3,7
2024-07-22,256,83,36,42,23,72,49.1,4.7,10,3,6,20.6,6
2024-07-23,249,81,30,59,25,59,48.3,2.0,12,9,1,27.8,6
2024-07-24,237,98,32,70,23,63,59.4,2.5,24,5,5,27.0,10
2024-07-25,228,88,32,37,18,57,59.1,4.1,32,10,2,46.0,11
2024-07-26,252,108,48,53,24,66,66.6,4.1,23,0,3,6.9,1
2024-07-27,255,82,38,60,25,58,48.1,4.1,17,4,3,15.6,6
2024-07-28,246,91,42,45,26,52,57.7,7.7,20,2,2,41.2,4
2024-07-29,237,75,30,60,26,54,43.5,4.1,10,7,4,46.2,5
2024-07-30,241,83,37,53,26,58,49.1,4.7,25,5,3,46.5,7
2024-07-31,232,97,44,46,24,57,61.8,4.5,27,12,2,20.8,8
2024-08-01,260,99,45,28,27,62,63.4,4.2,16,0,1,17.4,6
2024-08-02,216,105,26,52,23,43,73.1,3.2,16,8,2,25.9,0
2024-08-03,263,91,43,52,29,62,53.6,4.3,22,11,1,39.3,3
2024-08-04,248,99,35,66,29,62,59.0,2.6,17,17,3,61.7,9
2024-08-05,257,93,39,56,22,62,57.1,3.2,19,6,1,0.0,0
2024-08-06,258,83,32,47,24,62,50.5,3.0,37,10,3,31.0,10
2024-08-07,251,72,49,37,28,60,40.0,3.6,18,0,5,11.0,8
2024-08-08,243,84,39,61,21,61,50.0,6.0,17,0,5,5.3,10
2024-08-09,265,75,32,54,22,61,44.5,1.4,15,12,3,52.4,5
2024-08-10,223,97,33,49,20,54,64.7,4.3,26,8,3,44.8,0
2024-08-11,268,98,44,47,27,65,59.5,1.7,19,14,6,43.1,7
2024-08-12,232,76,42,65,21,51,44.5,3.0,15,1,4,51.6,10
2024-08-13,244,98,37,67,25,60,59.1,4.7,31,11,3,26.4,9
2024-08-14,271,75,34,47,26,57,44.6,3.6,31,17,1,27.2,4
2024-08-15,283,101,44,30,27,67,64.2,2.3,15,10,4,74.3,6
2024-08-16,252,85,33,51,20,64,52.7,2.7,5,9,4,30.6,4
2024-08-17,229,91,32,55,24,59,56.8,4.2,28,8,2,48.2,4
2024-08-18,262,101,57,54,28,65,58.8,2.7,15,0,3,35.1,9
2024-08-19,249,93,40,37,24,63,58.6,3.7,26,15,2,1.7,2
2024-08-20,233,85,36,68,23,61,49.4,3.6,4,5,3,0.0,3
2024-08-21,253,95,33,34,25,63,61.9,2.8,27,11,1,24.6,3
2024-08-22,230,77,35,45,26,63,44.9,5.9,10,0,3,54.0,2
2024-08-23,252,67,47,43,25,52,38.4,4.2,26,2,4,49.2,6
2024-08-24,236,98,44,42,19,63,63.1,1.3,20,15,2,51.5,9
2024-08-25,220,73,32,31,27,44,48.3,3.7,12,6,3,17.2,5
2024-08-26,225,96,35,54,26,53,60.9,2.8,17,15,2,64.1,1
2024-08-27,240,88,27,67,24,63,52.4,4.4,25,8,4,17.6,9
2024-08-28,257,86,39,51,26,67,50.2,2.6,21,0,3,38.8,11
2024-08-29,268,77,5,43,27,62,49.8,3.4,25,12,2,34.8,4
2024-08-30,271,82,25,67,24,67,47.1,4.1,36,5,5,31.9,5
2024-08-31,227,86,38,61,26,53,51.9,4.5,7,11,4,59.1,8
2024-09-01,246,88,16,45,27,65,56.4,2.2,33,8,2,22.3,11
2024-09-02,241,77,56,56,23,59,42.3,3.1,21,0,4,10.7,4
2024-09-03,248,94,30,64,26,58,57.5,3.0,13,9,4,35.4,2
2024-09-04,271,94,41,44,30,69,55.9,2.8,9,19,4,27.8,8
2024-09-05,252,91,48,54,25,65,53.1,5.4,18,10,1,95.8,8
2024-09-06,263,82,40,49,23,64,48.5,3.9,27,8,5,47.2,6
2024-09-07,283,95,37,41,30,74,56.3,2.1,19,13,2,27.6,4
2024-09-08,227,92,33,55,22,64,57.4,4.5,32,9,2,16.0,9
2024-09-09,243,67,27,57,21,50,40.4,5.8,8,9,7,1.2,8
2024-09-10,259,88,34,54,28,70,51.1,4.6,20,3,3,16.5,4
2024-09-11,254,106,38,45,26,70,66.1,1.8,10,9,2,37.1,6
2024-09-12,266,96,37,74,25,68,54.9,3.0,23,13,1,60.7,2
2024-09-13,244,98,30,48,30,59,61.6,4.9,27,4,5,55.2,8
2024-09-14,253,79,46,59,23,55,45.7,2.7,17,15,1,39.1,5
2024-09-15,239,87,26,61,21,59,54.7,4.0,2,8,1,29.2,5
2024-09-16,266,84,43,28,27,64,51.9,4.4,22,4,3,39.8,6
2024-09-17,251,86,45,62,24,55,50.7,2.5,23,13,5,25.7,6
2024-09-18,272,81,40,53,25,64,46.5,3.4,23,7,4,65.9,9
2024-09-19,272,74,51,51,31,67,37.0,1.0,30,12,3,31.6,8
2024-09-20,231,87,41,52,19,59,53.9,2.4,11,7,3,33.4,6
2024-09-21,274,78,49,59,28,63,41.4,3.2,25,8,2,0.0,8
2024-09-22,265,92,17,30,26,54,63.8,2.1,30,10,3,31.5,7
2024-09-23,248,86,45,54,24,60,50.5,5.3,6,9,3,50.1,5
2024-09-24,263,67,43,58,29,61,33.4,1.9,23,0,4,15.8,6
2024-09-25,243,100,42,75,30,58,57.6,3.0,16,2,4,21.5,6
2024-09-26,271,90,43,40,27,57,56.3,3.6,19,13,4,49.3,8
2024-09-27,252,81,34,58,27,61,47.0,5.1,23,7,2,8.4,5
2024-09-28,264,83,44,49,26,67,46.9,1.9,16,5,4,54.0,5
2024-09-29,241,74,52,58,24,58,39.5,4.8,15,1,3,25.4,12
2024-09-30,255,85,23,62,26,64,50.8,3.5,20,3,1,28.0,9
2024-10-01,264,93,48,46,26,64,55.5,2.4,11,0,2,14.8,4
2024-10-02,256,103,37,73,22,54,64.7,4.0,11,7,3,41.8,8
2024-10-03,259,85,33,67,29,65,47.3,3.7,25,5,4,79.3,6
2024-10-04,240,86,29,61,25,55,53.1,2.8,11,3,3,49.1,7
2024-10-05,256,98,41,50,25,57,61.6,3.6,25,8,1,19.4,6
2024-10-06,240,74,51,48,22,63,41.3,3.1,24,10,3,55.4,10
2024-10-07,251,87,35,58,25,64,51.5,3.6,6,18,3,29.3,7
2024-10-08,244,78,44,50,23,57,46.3,4.2,15,0,3,59.7,6
2024-10-09,248,87,38,48,25,61,53.0,5.2,30,14,4,49.5,9
2024-10-10,225,95,25,73,21,57,59.7,2.1,12,13,5,0.0,7
2024-10-11,252,69,37,59,22,54,39.6,5.8,16,4,2,16.9,6
2024-10-12,250,97,33,62,29,56,59.3,1.4,24,9,2,52.0,7
2024-10-13,229,89,30,72,20,51,55.8,3.3,26,6,1,37.7,6
2024-10-14,257,87,35,54,23,66,52.1,4.1,18,9,4,16.6,6
2024-10-15,264,99,36,47,28,73,59.8,3.8,15,16,5,23.6,4
2024-10-16,256,78,47,43,26,67,43.6,2.8,31,11,3,0.7,4
2024-10-17,263,72,39,67,28,66,36.3,3.3,34,11,3,33.4,3
2024-10-18,244,75,27,50,25,55,46.2,3.0,28,6,5,74.8,2
2024-10-19,248,91,48,24,22,65,58.3,2.9,21,1,4,49.5,3
2024-10-20,253,81,42,27,27,61,49.9,4.4,14,7,4,74.4,5
2024-10-21,254,77,41,39,23,58,47.0,3.9,13,14,1,50.9,6
2024-10-22,217,76,46,50,24,57,43.7,2.7,24,0,4,53.5,5
2024-10-23,238,87,39,51,20,66,53.1,4.5,23,3,2,70.5,0
2024-10-24,267,85,35,59,24,70,49.0,3.8,31,9,1,41.8,11
2024-10-25,240,71,42,42,21,71,40.0,4.4,25,3,2,31.6,9
2024-10-26,248,72,44,56,25,58,39.2,4.2,8,4,2,53.6,7
2024-10-27,251,80,42,63,24,60,45.3,2.6,28,6,3,61.2,12
2024-10-28,232,95,46,52,23,53,59.6,2.9,12,1,1,26.4,3
2024-10-29,276,81,40,49,27,64,46.7,4.3,17,3,4,22.0,12
2024-10-30,252,71,31,45,25,69,39.8,4.2,22,12,5,37.5,3
2024-10-31,239,85,34,65,22,54,51.4,3.5,36,1,1,50.0,7
2024-11-01,262,86,50,40,21,62,52.4,3.6,45,0,4,49.4,2
2024-11-02,248,71,39,70,20,68,36.5,4.9,25,5,2,9.4,6
2024-11-03,253,73,30,54,22,65,42.4,2.8,19,12,4,69.4,7
2024-11-04,273,93,29,43,26,63,58.9,4.1,24,7,3,23.5,6
2024-11-05,244,73,29,62,28,60,40.4,3.3,27,6,3,30.2,8
2024-11-06,270,93,46,59,23,58,56.3,3.3,17,8,3,18.8,6
2024-11-07,247,70,42,58,21,60,38.6,4.7,34,0,5,83.6,4
2024-11-08,254,70,54,61,19,63,36.6,4.4,22,10,1,39.4,4
2024-11-09,257,86,44,56,27,64,48.6,4.4,24,10,4,19.7,8
2024-11-10,247,78,45,59,24,71,41.3,4.9,25,6,5,50.6,4
2024-11-11,237,80,55,68,19,63,43.2,3.5,23,13,4,48.8,9
2024-11-12,259,87,32,56,25,59,53.0,4.3,27,2,6,31.6,10
2024-11-13,270,80,28,62,25,67,45.3,3.2,15,14,2,50.1,1
2024-11-14,262,76,44,32,30,65,43.2,3.9,16,9,4,20.1,9
2024-11-15,262,90,38,57,24,74,51.9,3.4,11,6,3,26.1,12
2024-11-16,246,87,42,79,29,59,46.9,3.6,24,8,5,0.0,7
2024-11-17,263,86,49,36,26,66,50.7,4.2,26,7,3,11.2,8
2024-11-18,258,85,46,74,24,65,45.8,2.6,24,14,2,67.5,9
2024-11-19,266,77,52,61,25,61,41.0,5.8,33,3,5,64.5,5
2024-11-20,254,75,32,37,26,55,46.8,2.4,20,4,2,36.2,7
2024-11-21,262,82,47,54,25,64,45.8,2.2,25,13,1,64.9,2
2024-11-22,246,77,34,58,21,64,44.9,4.8,11,5,2,32.1,6
2024-11-23,264,85,53,63,28,59,46.3,4.4,17,13,4,30.6,7
2024-11-24,234,81,43,50,26,58,47.6,4.2,26,16,5,36.0,8
2024-11-25,248,85,44,61,27,58,48.7,4.2,27,6,3,32.8,9
2024-11-26,243,84,35,68,23,51,50.7,3.5,18,11,5,31.1,4
2024-11-27,306,103,36,63,33,77,58.0,2.5,19,2,1,55.6,4
2024-11-28,263,71,43,66,27,67,35.0,3.6,8,12,2,37.7,12
2024-11-29,237,83,54,50,22,62,47.9,2.8,17,9,3,47.8,6
2024-11-30,233,74,53,61,21,62,39.4,4.6,27,10,3,53.6,7
2024-12-01,227,80,43,77,25,56,43.4,3.3,25,5,3,42.0,6
2024-12-02,236,77,37,43,18,61,47.8,2.6,24,0,4,17.5,4
2024-12-03,241,91,45,58,28,61,53.0,3.1,20,11,2,10.6,11
2024-12-04,239,70,50,43,24,46,41.8,4.0,20,0,3,37.7,4
2024-12-05,247,93,42,67,22,54,56.5,2.9,15,6,3,31.9,3
2024-12-06,266,90,37,34,24,62,57.8,2.6,26,13,2,36.6,5
2024-12-07,251,105,46,49,23,62,66.9,3.8,23,9,3,34.7,0
2024-12-08,264,103,38,77,28,67,59.2,3.8,24,18,3,81.5,4
2024-12-09,238,77,37,49,24,62,44.9,2.9,16,13,3,11.1,3
2024-12-10,248,97,40,54,23,65,59.8,3.0,3,5,3,0.0,8
2024-12-11,240,82,46,67,22,60,45.8,3.8,29,8,3,41.0,4
2024-12-12,260,88,39,53,26,67,51.3,1.9,16,8,2,28.2,9
2024-12-13,251,102,40,34,33,70,62.6,2.0,13,0,5,40.7,10
2024-12-14,281,77,42,44,36,72,39.8,2.7,26,3,1,45.5,8
2024-12-15,244,85,37,68,27,60,48.4,3.3,17,5,2,58.1,5
2024-12-16,238,65,53,69,21,61,31.4,3.8,28,0,7,7.9,6
2024-12-17,258,94,55,34,28,68,55.4,5.1,25,8,1,25.0,1
2024-12-18,251,106,38,45,22,70,67.5,4.4,25,7,1,42.7,6
2024-12-19,262,90,34,48,25,59,56.8,3.3,9,0,4,48.9,3
